drug_name,base_drug_name,drug_class,drug_sub_class,therapeutic_category,dosages,route_of_administration,formulation,search_text,source_files
Stannous Fluoride,stannous fluoride,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,STOMATOLOGICAL PREPARATIONS,[],,,Drug: stannous fluoride | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Caries prophylactic agents | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Repaglinide,repaglinide,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",DRUGS USED IN DIABETES,"['0.5 mg', '1 mg', '2 mg']",oral,tablet,"Drug: repaglinide | Dosages: [0.5 mg, 1 mg, 2 mg] | Form: tablet | Route: oral | Class: BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS | Subclass: Other blood glucose lowering drugs, excl. insulins | Therapeutic: DRUGS USED IN DIABETES","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Tolrestat,tolrestat,OTHER DRUGS USED IN DIABETES,Aldose reductase inhibitors,DRUGS USED IN DIABETES,[],,,Drug: tolrestat | Dosages: [] | Form:  | Route:  | Class: OTHER DRUGS USED IN DIABETES | Subclass: Aldose reductase inhibitors | Therapeutic: DRUGS USED IN DIABETES,['rxnorm_complete_drug_classification.csv']
Teplizumab,teplizumab,OTHER DRUGS USED IN DIABETES,Other drugs used in diabetes,DRUGS USED IN DIABETES,[],,,Drug: teplizumab | Dosages: [] | Form:  | Route:  | Class: OTHER DRUGS USED IN DIABETES | Subclass: Other drugs used in diabetes | Therapeutic: DRUGS USED IN DIABETES,['rxnorm_complete_drug_classification.csv']
Donislecel,donislecel,OTHER DRUGS USED IN DIABETES,Other drugs used in diabetes,DRUGS USED IN DIABETES,[],,,Drug: donislecel | Dosages: [] | Form:  | Route:  | Class: OTHER DRUGS USED IN DIABETES | Subclass: Other drugs used in diabetes | Therapeutic: DRUGS USED IN DIABETES,['rxnorm_complete_drug_classification.csv']
Vitamin A,vitamin A,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","Vitamin A, plain",VITAMINS,[],,,"Drug: vitamin A | Dosages: [] | Form:  | Route:  | Class: VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO | Subclass: Vitamin A, plain | Therapeutic: VITAMINS",['rxnorm_complete_drug_classification.csv']
Beta Carotene,beta carotene,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","Vitamin A, plain",VITAMINS,[],,,"Drug: beta carotene | Dosages: [] | Form:  | Route:  | Class: VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO | Subclass: Vitamin A, plain | Therapeutic: VITAMINS",['rxnorm_complete_drug_classification.csv']
Alfacalcidol,alfacalcidol,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,VITAMINS,[],,,"Drug: alfacalcidol | Dosages: [] | Form:  | Route:  | Class: VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO | Subclass: Vitamin D and analogues | Therapeutic: VITAMINS",['rxnorm_complete_drug_classification.csv']
Calcifediol,calcifediol,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,VITAMINS,[],,,"Drug: calcifediol | Dosages: [] | Form:  | Route:  | Class: VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO | Subclass: Vitamin D and analogues | Therapeutic: VITAMINS",['rxnorm_complete_drug_classification.csv']
Calcitriol,calcitriol,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,VITAMINS,"['0.25 mcg', '0.5 mcg', '1 mcg/ml', '3 mcg/gm']",oral,solution,"Drug: calcitriol | Dosages: [0.25 mcg, 0.5 mcg, 1 mcg/ml, 3 mcg/gm] | Form: solution | Route: oral | Class: VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO | Subclass: Vitamin D and analogues | Therapeutic: VITAMINS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Cholecalciferol,cholecalciferol,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,VITAMINS,[],,,"Drug: cholecalciferol | Dosages: [] | Form:  | Route:  | Class: VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO | Subclass: Vitamin D and analogues | Therapeutic: VITAMINS",['rxnorm_complete_drug_classification.csv']
Dihydrotachysterol,dihydrotachysterol,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,VITAMINS,[],,,"Drug: dihydrotachysterol | Dosages: [] | Form:  | Route:  | Class: VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO | Subclass: Vitamin D and analogues | Therapeutic: VITAMINS",['rxnorm_complete_drug_classification.csv']
Ergocalciferol,ergocalciferol,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,VITAMINS,"['1.25 mg', '8000 unit/ml']",oral,capsule,"Drug: ergocalciferol | Dosages: [1.25 mg, 8000 unit/ml] | Form: capsule | Route: oral | Class: VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO | Subclass: Vitamin D and analogues | Therapeutic: VITAMINS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Thiamine,thiamine,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12","Vitamin B1, plain",VITAMINS,[],,,"Drug: thiamine | Dosages: [] | Form:  | Route:  | Class: VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12 | Subclass: Vitamin B1, plain | Therapeutic: VITAMINS",['rxnorm_complete_drug_classification.csv']
Benphothiamine,benphothiamine,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12","Vitamin B1, plain",VITAMINS,[],,,"Drug: benphothiamine | Dosages: [] | Form:  | Route:  | Class: VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12 | Subclass: Vitamin B1, plain | Therapeutic: VITAMINS",['rxnorm_complete_drug_classification.csv']
Sulbutiamine,sulbutiamine,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12","Vitamin B1, plain",VITAMINS,[],,,"Drug: sulbutiamine | Dosages: [] | Form:  | Route:  | Class: VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12 | Subclass: Vitamin B1, plain | Therapeutic: VITAMINS",['rxnorm_complete_drug_classification.csv']
Ascorbic Acid,ascorbic acid,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS","Ascorbic acid (vitamin C), plain",VITAMINS,[],,,"Drug: ascorbic acid | Dosages: [] | Form:  | Route:  | Class: ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS | Subclass: Ascorbic acid (vitamin C), plain | Therapeutic: VITAMINS",['rxnorm_complete_drug_classification.csv']
Vitamin E,vitamin E,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,VITAMINS,[],,,Drug: vitamin E | Dosages: [] | Form:  | Route:  | Class: OTHER PLAIN VITAMIN PREPARATIONS | Subclass: Other plain vitamin preparations | Therapeutic: VITAMINS,['rxnorm_complete_drug_classification.csv']
Biotin,biotin,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,VITAMINS,[],,,Drug: biotin | Dosages: [] | Form:  | Route:  | Class: OTHER PLAIN VITAMIN PREPARATIONS | Subclass: Other plain vitamin preparations | Therapeutic: VITAMINS,['rxnorm_complete_drug_classification.csv']
Tocophersolan,tocophersolan,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,VITAMINS,[],,,Drug: tocophersolan | Dosages: [] | Form:  | Route:  | Class: OTHER PLAIN VITAMIN PREPARATIONS | Subclass: Other plain vitamin preparations | Therapeutic: VITAMINS,['rxnorm_complete_drug_classification.csv']
Dexpanthenol,dexpanthenol,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,VITAMINS,[],,,Drug: dexpanthenol | Dosages: [] | Form:  | Route:  | Class: OTHER PLAIN VITAMIN PREPARATIONS | Subclass: Other plain vitamin preparations | Therapeutic: VITAMINS,['rxnorm_complete_drug_classification.csv']
Pantethine,pantethine,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,VITAMINS,[],,,Drug: pantethine | Dosages: [] | Form:  | Route:  | Class: OTHER PLAIN VITAMIN PREPARATIONS | Subclass: Other plain vitamin preparations | Therapeutic: VITAMINS,['rxnorm_complete_drug_classification.csv']
Inositol,inositol,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,VITAMINS,[],,,Drug: inositol | Dosages: [] | Form:  | Route:  | Class: OTHER PLAIN VITAMIN PREPARATIONS | Subclass: Other plain vitamin preparations | Therapeutic: VITAMINS,['rxnorm_complete_drug_classification.csv']
Pyridoxine,pyridoxine,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,VITAMINS,[],,,Drug: pyridoxine | Dosages: [] | Form:  | Route:  | Class: OTHER PLAIN VITAMIN PREPARATIONS | Subclass: Other plain vitamin preparations | Therapeutic: VITAMINS,['rxnorm_complete_drug_classification.csv']
Niacinamide,niacinamide,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,VITAMINS,[],,,Drug: niacinamide | Dosages: [] | Form:  | Route:  | Class: OTHER PLAIN VITAMIN PREPARATIONS | Subclass: Other plain vitamin preparations | Therapeutic: VITAMINS,['rxnorm_complete_drug_classification.csv']
Riboflavin,riboflavin,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,VITAMINS,[],,,Drug: riboflavin | Dosages: [] | Form:  | Route:  | Class: OTHER PLAIN VITAMIN PREPARATIONS | Subclass: Other plain vitamin preparations | Therapeutic: VITAMINS,['rxnorm_complete_drug_classification.csv']
Calcium Chloride,calcium chloride,CALCIUM,Calcium,MINERAL SUPPLEMENTS,[],,,Drug: calcium chloride | Dosages: [] | Form:  | Route:  | Class: CALCIUM | Subclass: Calcium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Calcium Gluconate,calcium gluconate,CALCIUM,Calcium,MINERAL SUPPLEMENTS,[],intravenous,solution,Drug: calcium gluconate | Dosages: [] | Form: solution | Route: intravenous | Class: CALCIUM | Subclass: Calcium | Therapeutic: MINERAL SUPPLEMENTS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Calcium Phosphate,calcium phosphate,CALCIUM,Calcium,MINERAL SUPPLEMENTS,[],,,Drug: calcium phosphate | Dosages: [] | Form:  | Route:  | Class: CALCIUM | Subclass: Calcium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Calcium Glubionate,calcium glubionate,CALCIUM,Calcium,MINERAL SUPPLEMENTS,[],,,Drug: calcium glubionate | Dosages: [] | Form:  | Route:  | Class: CALCIUM | Subclass: Calcium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Calcium Citrate,calcium citrate,CALCIUM,Calcium,MINERAL SUPPLEMENTS,[],,,Drug: calcium citrate | Dosages: [] | Form:  | Route:  | Class: CALCIUM | Subclass: Calcium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Calcium Gluceptate,calcium gluceptate,CALCIUM,Calcium,MINERAL SUPPLEMENTS,[],,,Drug: calcium gluceptate | Dosages: [] | Form:  | Route:  | Class: CALCIUM | Subclass: Calcium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Calcium Lactate,calcium lactate,CALCIUM,Calcium,MINERAL SUPPLEMENTS,[],,,Drug: calcium lactate | Dosages: [] | Form:  | Route:  | Class: CALCIUM | Subclass: Calcium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Calcium Levulinate,calcium levulinate,CALCIUM,Calcium,MINERAL SUPPLEMENTS,[],,,Drug: calcium levulinate | Dosages: [] | Form:  | Route:  | Class: CALCIUM | Subclass: Calcium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Potassium Bicarbonate,potassium bicarbonate,POTASSIUM,Potassium,MINERAL SUPPLEMENTS,[],,,Drug: potassium bicarbonate | Dosages: [] | Form:  | Route:  | Class: POTASSIUM | Subclass: Potassium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Potassium Citrate,potassium citrate,POTASSIUM,Potassium,MINERAL SUPPLEMENTS,[],,,Drug: potassium citrate | Dosages: [] | Form:  | Route:  | Class: POTASSIUM | Subclass: Potassium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Potassium Chloride,potassium chloride,POTASSIUM,Potassium,MINERAL SUPPLEMENTS,"['0.4 meq/ml', '10 meq', '100 ml', '15 ml', '2 meq/ml', '20 meq', '40 meq']",intravenous,solution,"Drug: potassium chloride | Dosages: [0.4 meq/ml, 10 meq, 100 ml, 15 ml, 2 meq/ml, 20 meq, 40 meq] | Form: solution | Route: intravenous | Class: POTASSIUM | Subclass: Potassium | Therapeutic: MINERAL SUPPLEMENTS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Potassium Gluconate,potassium gluconate,POTASSIUM,Potassium,MINERAL SUPPLEMENTS,[],,,Drug: potassium gluconate | Dosages: [] | Form:  | Route:  | Class: POTASSIUM | Subclass: Potassium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Sodium Chloride,sodium chloride,OTHER MINERAL SUPPLEMENTS,Sodium,MINERAL SUPPLEMENTS,['2.5 meq/ml'],intravenous,injection,Drug: sodium chloride | Dosages: [2.5 meq/ml] | Form: injection | Route: intravenous | Class: OTHER MINERAL SUPPLEMENTS | Subclass: Sodium | Therapeutic: MINERAL SUPPLEMENTS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Zinc Sulfate,zinc sulfate,OTHER MINERAL SUPPLEMENTS,Zinc,MINERAL SUPPLEMENTS,['3 mg/ml'],intravenous,solution,Drug: zinc sulfate | Dosages: [3 mg/ml] | Form: solution | Route: intravenous | Class: OTHER MINERAL SUPPLEMENTS | Subclass: Zinc | Therapeutic: MINERAL SUPPLEMENTS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Zinc Gluconate,zinc gluconate,OTHER MINERAL SUPPLEMENTS,Zinc,MINERAL SUPPLEMENTS,[],,,Drug: zinc gluconate | Dosages: [] | Form:  | Route:  | Class: OTHER MINERAL SUPPLEMENTS | Subclass: Zinc | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Magnesium Orotate,magnesium orotate,OTHER MINERAL SUPPLEMENTS,Magnesium,MINERAL SUPPLEMENTS,[],,,Drug: magnesium orotate | Dosages: [] | Form:  | Route:  | Class: OTHER MINERAL SUPPLEMENTS | Subclass: Magnesium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Magnesium Aspartate,magnesium aspartate,OTHER MINERAL SUPPLEMENTS,Magnesium,MINERAL SUPPLEMENTS,[],,,Drug: magnesium aspartate | Dosages: [] | Form:  | Route:  | Class: OTHER MINERAL SUPPLEMENTS | Subclass: Magnesium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Magnesium Lactate,magnesium lactate,OTHER MINERAL SUPPLEMENTS,Magnesium,MINERAL SUPPLEMENTS,[],,,Drug: magnesium lactate | Dosages: [] | Form:  | Route:  | Class: OTHER MINERAL SUPPLEMENTS | Subclass: Magnesium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Magnesium Gluconate,magnesium gluconate,OTHER MINERAL SUPPLEMENTS,Magnesium,MINERAL SUPPLEMENTS,[],,,Drug: magnesium gluconate | Dosages: [] | Form:  | Route:  | Class: OTHER MINERAL SUPPLEMENTS | Subclass: Magnesium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Magnesium Chloride,magnesium chloride,OTHER MINERAL SUPPLEMENTS,Magnesium,MINERAL SUPPLEMENTS,[],,,Drug: magnesium chloride | Dosages: [] | Form:  | Route:  | Class: OTHER MINERAL SUPPLEMENTS | Subclass: Magnesium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Sodium Selenate,sodium selenate,OTHER MINERAL SUPPLEMENTS,Selenium,MINERAL SUPPLEMENTS,[],,,Drug: sodium selenate | Dosages: [] | Form:  | Route:  | Class: OTHER MINERAL SUPPLEMENTS | Subclass: Selenium | Therapeutic: MINERAL SUPPLEMENTS,['rxnorm_complete_drug_classification.csv']
Stanozolol,stanozolol,ANABOLIC STEROIDS,Androstan derivatives,ANABOLIC AGENTS FOR SYSTEMIC USE,[],,,Drug: stanozolol | Dosages: [] | Form:  | Route:  | Class: ANABOLIC STEROIDS | Subclass: Androstan derivatives | Therapeutic: ANABOLIC AGENTS FOR SYSTEMIC USE,['rxnorm_complete_drug_classification.csv']
Prasterone,prasterone,ANABOLIC STEROIDS,Androstan derivatives,ANABOLIC AGENTS FOR SYSTEMIC USE,[],,,Drug: prasterone | Dosages: [] | Form:  | Route:  | Class: ANABOLIC STEROIDS | Subclass: Androstan derivatives | Therapeutic: ANABOLIC AGENTS FOR SYSTEMIC USE,['rxnorm_complete_drug_classification.csv']
Methandrostenolone,methandrostenolone,ANABOLIC STEROIDS,Androstan derivatives,ANABOLIC AGENTS FOR SYSTEMIC USE,[],,,Drug: methandrostenolone | Dosages: [] | Form:  | Route:  | Class: ANABOLIC STEROIDS | Subclass: Androstan derivatives | Therapeutic: ANABOLIC AGENTS FOR SYSTEMIC USE,['rxnorm_complete_drug_classification.csv']
Methenolone,methenolone,ANABOLIC STEROIDS,Androstan derivatives,ANABOLIC AGENTS FOR SYSTEMIC USE,[],,,Drug: methenolone | Dosages: [] | Form:  | Route:  | Class: ANABOLIC STEROIDS | Subclass: Androstan derivatives | Therapeutic: ANABOLIC AGENTS FOR SYSTEMIC USE,['rxnorm_complete_drug_classification.csv']
Norethandrolone,norethandrolone,ANABOLIC STEROIDS,Androstan derivatives,ANABOLIC AGENTS FOR SYSTEMIC USE,[],,,Drug: norethandrolone | Dosages: [] | Form:  | Route:  | Class: ANABOLIC STEROIDS | Subclass: Androstan derivatives | Therapeutic: ANABOLIC AGENTS FOR SYSTEMIC USE,['rxnorm_complete_drug_classification.csv']
Oxandrolone,oxandrolone,ANABOLIC STEROIDS,Androstan derivatives,ANABOLIC AGENTS FOR SYSTEMIC USE,"['10 mg', '2.5 mg']",oral,tablet,"Drug: oxandrolone | Dosages: [10 mg, 2.5 mg] | Form: tablet | Route: oral | Class: ANABOLIC STEROIDS | Subclass: Androstan derivatives | Therapeutic: ANABOLIC AGENTS FOR SYSTEMIC USE","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Oxymetholone,oxymetholone,ANABOLIC STEROIDS,Androstan derivatives,ANABOLIC AGENTS FOR SYSTEMIC USE,[],,,Drug: oxymetholone | Dosages: [] | Form:  | Route:  | Class: ANABOLIC STEROIDS | Subclass: Androstan derivatives | Therapeutic: ANABOLIC AGENTS FOR SYSTEMIC USE,['rxnorm_complete_drug_classification.csv']
Ethylestrenol,ethylestrenol,ANABOLIC STEROIDS,Estren derivatives,ANABOLIC AGENTS FOR SYSTEMIC USE,[],,,Drug: ethylestrenol | Dosages: [] | Form:  | Route:  | Class: ANABOLIC STEROIDS | Subclass: Estren derivatives | Therapeutic: ANABOLIC AGENTS FOR SYSTEMIC USE,['rxnorm_complete_drug_classification.csv']
Nandrolone,nandrolone,ANABOLIC STEROIDS,Estren derivatives,ANABOLIC AGENTS FOR SYSTEMIC USE,[],,,Drug: nandrolone | Dosages: [] | Form:  | Route:  | Class: ANABOLIC STEROIDS | Subclass: Estren derivatives | Therapeutic: ANABOLIC AGENTS FOR SYSTEMIC USE,['rxnorm_complete_drug_classification.csv']
Metreleptin,metreleptin,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Amino acids and derivatives,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: metreleptin | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Amino acids and derivatives | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Betaine,betaine,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Amino acids and derivatives,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: betaine | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Amino acids and derivatives | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Cysteamine,cysteamine,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Amino acids and derivatives,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: cysteamine | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Amino acids and derivatives | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Carglumic Acid,carglumic acid,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Amino acids and derivatives,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['200 mg'],oral,tablet,Drug: carglumic acid | Dosages: [200 mg] | Form: tablet | Route: oral | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Amino acids and derivatives | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Levocarnitine,levocarnitine,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Amino acids and derivatives,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['200 mg/ml'],intravenous,solution,Drug: levocarnitine | Dosages: [200 mg/ml] | Form: solution | Route: intravenous | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Amino acids and derivatives | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Glutamine,glutamine,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Amino acids and derivatives,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: glutamine | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Amino acids and derivatives | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
S-adenosylmethionine,S-adenosylmethionine,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Amino acids and derivatives,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: S-adenosylmethionine | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Amino acids and derivatives | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Taliglucerase Alfa,taliglucerase alfa,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Enzymes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: taliglucerase alfa | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Enzymes | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Elosulfase Alfa,elosulfase alfa,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Enzymes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: elosulfase alfa | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Enzymes | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Asfotase Alfa,asfotase alfa,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Enzymes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: asfotase alfa | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Enzymes | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Sebelipase Alfa,sebelipase alfa,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Enzymes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: sebelipase alfa | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Enzymes | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Vestronidase Alfa,vestronidase alfa,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Enzymes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: vestronidase alfa | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Enzymes | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Pegvaliase,pegvaliase,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Enzymes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: pegvaliase | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Enzymes | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Sacrosidase,sacrosidase,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Enzymes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: sacrosidase | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Enzymes | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Avalglucosidase Alfa,avalglucosidase alfa,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Enzymes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: avalglucosidase alfa | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Enzymes | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
Olipudase Alfa,olipudase alfa,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Enzymes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,[],,,Drug: olipudase alfa | Dosages: [] | Form:  | Route:  | Class: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | Subclass: Enzymes | Therapeutic: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,['rxnorm_complete_drug_classification.csv']
