ingredient_rxcui,primary_drug_name,therapeutic_class_l2,drug_class_l3,drug_subclass_l4
2600867,mavacamten,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,Other cardiac preparations
2698312,acoramidis,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,Other cardiac preparations
296,adenosine,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,Other cardiac preparations
35829,ranolazine,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,Other cardiac preparations
5640,ibuprofen,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,Other cardiac preparations
5781,indomethacin,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,Other cardiac preparations
640062,regadenoson,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,Other cardiac preparations
235829,methoserpidine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Rauwolfia alkaloids
62174,deserpidine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Rauwolfia alkaloids
9259,rescinnamine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Rauwolfia alkaloids
9260,reserpine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Rauwolfia alkaloids
6876,methyldopa,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Methyldopa
2599,clonidine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Imidazoline receptor agonists
30257,moxonidine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Imidazoline receptor agonists
40114,guanfacine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Imidazoline receptor agonists
55679,rilmenidine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Imidazoline receptor agonists
10828,trimethaphan,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",Sulfonium derivatives
6673,mecamylamine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",Secondary and tertiary amines
39230,urapidil,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",Alpha-adrenoreceptor antagonists
49276,doxazosin,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",Alpha-adrenoreceptor antagonists
5784,indoramin,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",Alpha-adrenoreceptor antagonists
8629,prazosin,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",Alpha-adrenoreceptor antagonists
1523,bethanidine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",Guanidine derivatives
3118,debrisoquin,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",Guanidine derivatives
5036,guanethidine,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",Guanidine derivatives
3327,diazoxide,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Thiazide derivatives
3409,dihydralazine,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Hydrazinophthalazine derivatives
5470,hydralazine,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Hydrazinophthalazine derivatives
6984,minoxidil,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Pyrimidine derivatives
7476,nitroprusside,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Nitroferricyanide derivatives
33717,pinacidil,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Guanidine derivatives
266604,metyrosine,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Tyrosine hydroxylase inhibitors
7930,pargyline,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,MAO inhibitors
6131,ketanserin,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Serotonin antagonists
2679059,aprocitentan,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Other antihypertensives
1439816,riociguat,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Antihypertensives for pulmonary arterial hypertension
1442132,macitentan,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Antihypertensives for pulmonary arterial hypertension
2678930,sotatercept,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Antihypertensives for pulmonary arterial hypertension
358274,ambrisentan,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Antihypertensives for pulmonary arterial hypertension
75207,bosentan,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Antihypertensives for pulmonary arterial hypertension
10772,trichlormethiazide,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
1369,bendroflumethiazide,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
22033,cyclothiazide,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
2396,chlorothiazide,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
3000,cyclopenthiazide,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
5487,hydrochlorothiazide,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
5495,hydroflumethiazide,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
6860,methyclothiazide,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
8565,polythiazide,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
392576,bendroflumethiazide / potassium,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES",Thiazides and potassium in combination
11371,xipamide,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES","Sulfonamides, plain"
2409,chlorthalidone,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES","Sulfonamides, plain"
2603,clopamide,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES","Sulfonamides, plain"
5764,indapamide,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES","Sulfonamides, plain"
59743,quinethazone,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES","Sulfonamides, plain"
6696,mefruside,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES","Sulfonamides, plain"
6916,metolazone,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES","Sulfonamides, plain"
6774,mersalyl,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",Mercurial diuretics
10437,theobromine,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",Xanthine derivatives
21914,cicletanine,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",Other low-ceiling diuretics
1808,bumetanide,DIURETICS,HIGH-CEILING DIURETICS,"Sulfonamides, plain"
33770,piretanide,DIURETICS,HIGH-CEILING DIURETICS,"Sulfonamides, plain"
38413,torsemide,DIURETICS,HIGH-CEILING DIURETICS,"Sulfonamides, plain"
4603,furosemide,DIURETICS,HIGH-CEILING DIURETICS,"Sulfonamides, plain"
392464,furosemide / potassium,DIURETICS,HIGH-CEILING DIURETICS,Sulfonamides and potassium in combination
392534,bumetanide / potassium,DIURETICS,HIGH-CEILING DIURETICS,Sulfonamides and potassium in combination
4109,ethacrynic acid,DIURETICS,HIGH-CEILING DIURETICS,Aryloxyacetic acid derivatives
1982,canrenone,DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,Aldosterone antagonists
2562811,finerenone,DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,Aldosterone antagonists
298869,eplerenone,DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,Aldosterone antagonists
9997,spironolactone,DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,Aldosterone antagonists
10763,triamterene,DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,Other potassium-sparing agents
644,amiloride,DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,Other potassium-sparing agents
302285,conivaptan,DIURETICS,OTHER DIURETICS,Vasopressin antagonists
358257,tolvaptan,DIURETICS,OTHER DIURETICS,Vasopressin antagonists
1321,bamethan,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,2-amino-1-phenylethanol derivatives
6066,isoxsuprine,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,2-amino-1-phenylethanol derivatives
7595,nylidrin,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,2-amino-1-phenylethanol derivatives
10634,tolazoline,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Imidazoline derivatives
8153,phentolamine,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Imidazoline derivatives
7393,niacin,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Nicotinic acid and derivatives
7414,nicotinyl alcohol,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Nicotinic acid and derivatives
33086,pentifylline,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Purine derivatives
8013,pentoxifylline,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Purine derivatives
3416,dihydroergocristine,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Ergot alkaloids
4024,"ergoloid mesylates, USP",PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Ergot alkaloids
7398,nicergoline,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Ergot alkaloids
6095,kininogenase,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Enzymes
10561,moxisylyte,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
11201,vincamine,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
1367,bencyclane,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
180806,butalamine,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
19836,buflomedil,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
20609,cetiedil,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
27403,ifenprodil,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
2970,cyclandelate,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
57954,vinburnine,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
7236,nafronyl,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
8149,phenoxybenzamine,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
10759,triamcinolone,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Corticosteroids
1514,betamethasone,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Corticosteroids
3264,dexamethasone,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Corticosteroids
4462,fluocinonide,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Corticosteroids
4463,fluocortolone,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Corticosteroids
4491,fluorometholone,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Corticosteroids
5492,hydrocortisone,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Corticosteroids
8638,prednisolone,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Corticosteroids
10391,tetracaine,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Local anesthetics
1399,benzocaine,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Local anesthetics
3339,dibucaine,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Local anesthetics
34347,pramoxine,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Local anesthetics
6387,lidocaine,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Local anesthetics
8701,procaine,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Local anesthetics
3443,diltiazem,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Muscle relaxants
4917,nitroglycerin,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Muscle relaxants
6058,isosorbide dinitrate,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Muscle relaxants
38557,tribenoside,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Other agents for treatment of hemorrhoids and anal fissures for topical use
8163,phenylephrine,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Other agents for treatment of hemorrhoids and anal fissures for topical use
5224,heparin,VASOPROTECTIVES,ANTIVARICOSE THERAPY,Heparins or heparinoids for topical use
24460,ethanolamine oleate,VASOPROTECTIVES,ANTIVARICOSE THERAPY,Sclerosing agents for local injection
27712,invert sugar,VASOPROTECTIVES,ANTIVARICOSE THERAPY,Sclerosing agents for local injection
33290,phenol,VASOPROTECTIVES,ANTIVARICOSE THERAPY,Sclerosing agents for local injection
968170,polidocanol,VASOPROTECTIVES,ANTIVARICOSE THERAPY,Sclerosing agents for local injection
9913,sodium tetradecyl sulfate,VASOPROTECTIVES,ANTIVARICOSE THERAPY,Sclerosing agents for local injection
1904,calcium dobesilate,VASOPROTECTIVES,ANTIVARICOSE THERAPY,Other sclerosing agents
3489,diosmin,VASOPROTECTIVES,CAPILLARY STABILIZING AGENTS,Bioflavonoids
38893,troxerutin,VASOPROTECTIVES,CAPILLARY STABILIZING AGENTS,Bioflavonoids
9500,rutin,VASOPROTECTIVES,CAPILLARY STABILIZING AGENTS,Bioflavonoids
260020,horse chestnut seed,VASOPROTECTIVES,CAPILLARY STABILIZING AGENTS,Other capillary stabilizing agents
31475,naftazone,VASOPROTECTIVES,CAPILLARY STABILIZING AGENTS,Other capillary stabilizing agents
38557,tribenoside,VASOPROTECTIVES,CAPILLARY STABILIZING AGENTS,Other capillary stabilizing agents
10600,timolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
1817,bupranolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
19605,bopindolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
2116,carteolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
29518,mepindolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
37840,tertatolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
597,alprenolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
7226,nadolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
7801,oxprenolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
7973,penbutolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
8332,pindolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
8787,propranolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
9947,sotalol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
1202,atenolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
149,acebutolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
1520,betaxolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
19484,bisoprolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
20498,celiprolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
2712070,landiolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
31555,nebivolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
37546,talinolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
49737,esmolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
6918,metoprolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
8620,practolol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
20352,carvedilol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,Alpha and beta blocking agents
6185,labetalol,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,Alpha and beta blocking agents
1007489,felodipine / metoprolol,BETA BLOCKING AGENTS,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",Beta blocking agents and calcium channel blockers
392475,atenolol / nifedipine,BETA BLOCKING AGENTS,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",Beta blocking agents and calcium channel blockers
135056,lercanidipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
17767,amlodipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
233603,clevidipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
2376944,levamlodipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
28382,lacidipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
29275,manidipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
33910,isradipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
39879,mepirodipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
4316,felodipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
53692,nilvadipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
7396,nicardipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
7417,nifedipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
7426,nimodipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
7435,nisoldipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
7441,nitrendipine,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
83213,mibefradil,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Other selective calcium channel blockers with mainly vascular effects
11170,verapamil,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,Phenylalkylamine derivatives
4648,gallopamil,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,Phenylalkylamine derivatives
3443,diltiazem,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,Benzothiazepine derivatives
1436,bepridil,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Phenylalkylamine derivatives
4327,fendiline,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Phenylalkylamine derivatives
6390,lidoflazine,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Other non-selective calcium channel blockers
8050,perhexiline,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Other non-selective calcium channel blockers
18867,benazepril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
1998,captopril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
21102,cilazapril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
29046,lisinopril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
30131,moexipril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
35208,quinapril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
35296,ramipril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
36908,spirapril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
3827,enalapril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
38454,trandolapril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
39990,zofenopril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
50166,fosinopril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
54552,perindopril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
60245,imidapril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
1033889,amlodipine / perindopril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
214223,amlodipine / benazepril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
214866,trandolapril / verapamil,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
389179,felodipine / ramipril,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
214354,candesartan,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
52175,losartan,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
69749,valsartan,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
73494,telmisartan,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
83515,eprosartan,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
83818,irbesartan,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
729455,amlodipine / valsartan,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and calcium channel blockers
901212,amlodipine / telmisartan,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and calcium channel blockers
1656339,sacubitril / valsartan,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations"
